E /V,I /uA,I /uA,I /uA,I /uA,I /uA,I /uA
-0.39,-13.994,-20.176,-21.449,-21.372,-21.449,-21.602
-0.385,-13.764,-19.9,-21.188,-21.112,-21.188,-21.357
-0.38,-13.549,-19.654,-20.927,-20.851,-20.927,-21.096
-0.375,-13.334,-19.424,-20.651,-20.59,-20.682,-20.851
-0.37,-13.135,-19.163,-20.406,-20.345,-20.421,-20.605
-0.365,-12.935,-18.918,-20.176,-20.099,-20.16,-20.36
-0.36,-12.721,-18.673,-19.915,-19.838,-19.93,-20.13
-0.355,-12.521,-18.442,-19.67,-19.608,-19.7,-19.869
-0.35,-12.352,-18.212,-19.455,-19.393,-19.47,-19.654
-0.345,-12.153,-17.967,-19.225,-19.163,-19.225,-19.44
-0.34,-11.954,-17.737,-18.979,-18.903,-19.01,-19.209
-0.335,-11.77,-17.537,-18.734,-18.688,-18.765,-18.979
-0.33,-11.586,-17.292,-18.519,-18.458,-18.534,-18.749
-0.325,-11.401,-17.046,-18.274,-18.228,-18.304,-18.519
-0.32,-11.202,-16.832,-18.044,-17.982,-18.059,-18.289
-0.315,-11.003,-16.602,-17.798,-17.737,-17.844,-18.059
-0.31,-10.803,-16.372,-17.568,-17.522,-17.599,-17.813
-0.305,-10.604,-16.126,-17.323,-17.277,-17.353,-17.583
-0.3,-10.389,-15.865,-17.062,-17.016,-17.093,-17.338
-0.295,-10.159,-15.62,-16.786,-16.74,-16.847,-17.077
-0.29,-9.944,-15.344,-16.54,-16.494,-16.586,-16.816
-0.285,-9.699,-15.052,-16.264,-16.218,-16.295,-16.556
-0.28,-9.438,-14.746,-15.942,-15.896,-15.988,-16.249
-0.275,-9.131,-14.439,-15.605,-15.589,-15.666,-15.927
-0.27,-8.824,-14.055,-15.252,-15.221,-15.313,-15.559
-0.265,-8.471,-13.656,-14.853,-14.822,-14.914,-15.19
-0.26,-8.088,-13.227,-14.408,-14.393,-14.485,-14.761
-0.255,-7.643,-12.736,-13.902,-13.886,-14.009,-14.285
-0.25,-7.122,-12.184,-13.35,-13.365,-13.472,-13.733
-0.245,-6.554,-11.539,-12.721,-12.736,-12.828,-13.135
-0.24,-5.879,-10.834,-12.015,-12.03,-12.138,-12.445
-0.235,-5.081,-9.99,-11.156,-11.187,-11.309,-11.601
-0.23,-4.192,-9.039,-10.205,-10.251,-10.389,-10.68
-0.225,-3.087,-7.873,-9.039,-9.116,-9.254,-9.561
-0.22,-1.845,-6.554,-7.735,-7.827,-7.965,-8.303
-0.215,-0.418,-5.02,-6.186,-6.309,-6.477,-6.799
-0.21,1.3,-3.225,-4.406,-4.56,-4.729,-5.066
-0.205,3.279,-1.154,-2.336,-2.535,-2.719,-3.072
-0.2,5.595,1.193,0.011,-0.219,-0.433,-0.786
-0.195,8.218,3.938,2.727,2.451,2.22,1.852
-0.19,11.24,7.037,5.841,5.534,5.258,4.874
-0.185,14.615,10.489,9.307,8.924,8.648,8.249
-0.18,18.419,14.446,13.234,12.79,12.498,12.069
-0.175,22.684,18.772,17.545,17.085,16.747,16.302
-0.17,27.347,23.512,22.3,21.779,21.411,20.95
-0.165,32.379,28.682,27.454,26.872,26.473,26.028
-0.16,37.824,34.235,32.977,32.333,31.934,31.458
-0.155,43.623,40.141,38.852,38.192,37.763,37.257
-0.15,49.759,46.338,45.08,44.374,43.899,43.393
-0.145,56.171,52.781,51.538,50.756,50.265,49.774
-0.14,62.751,59.469,58.211,57.383,56.892,56.37
-0.135,69.547,66.341,65.037,64.193,63.687,63.135
-0.13,76.419,73.29,72.001,71.142,70.621,70.069
-0.125,83.276,80.162,78.92,78.015,77.447,76.925
-0.12,90.133,87.05,85.807,84.856,84.289,83.767
-0.115,96.867,93.784,92.541,91.575,91.023,90.471
-0.11,103.417,100.349,99.061,98.079,97.496,96.944
-0.105,109.569,106.547,105.258,104.261,103.663,103.111
-0.1,115.398,112.284,111.041,110.044,109.446,108.894
-0.095,120.736,117.576,116.318,115.352,114.769,114.201
-0.09,125.43,122.255,120.997,120.061,119.478,118.941
-0.085,129.434,126.228,125.016,124.065,123.528,122.976
-0.08,132.609,129.434,128.206,127.255,126.749,126.212
-0.075,134.925,131.704,130.507,129.618,129.066,128.559
-0.07,136.352,133.039,131.842,131.014,130.446,129.955
-0.065,136.781,133.391,132.226,131.413,130.86,130.385
-0.06,136.229,132.762,131.612,130.83,130.308,129.863
-0.055,134.895,131.366,130.17,129.434,128.958,128.483
-0.05,132.762,129.112,127.961,127.271,126.811,126.366
